date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:24:15	8010/8010	---MCZ	200	added ('OK')	application/javascript	etag:W/%2262c858e98855bfa713edebe4e741d85d%22	https://cdnjs.buymeacoffee.com/1.0.0/widget.prod.min.js	/storage/emulated/0/HTTrack/Websites/Vajira/cdnjs.buymeacoffee.com/1.0.0/widget.prod.min.js	(from https://vajira-api.vercel.app/)
01:24:16	89795/89795	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-15ec3%22	https://code.jquery.com/jquery-3.6.4.min.js	/storage/emulated/0/HTTrack/Websites/Vajira/code.jquery.com/jquery-3.6.4.min.js	(from https://vajira-api.vercel.app/)
01:24:18	5448/5448	---M-Z	200	added ('OK')	application/javascript	etag:W/%226448c874-1548%22	https://dropways.github.io/deskapp/vendors/scripts/script.min.js	/storage/emulated/0/HTTrack/Websites/Vajira/dropways.github.io/deskapp/vendors/scripts/script.min.js	(from https://vajira-api.vercel.app/)
01:24:19	1019/1019	---M-Z	200	added ('OK')	application/javascript	etag:W/%226448c874-3fb%22	https://dropways.github.io/deskapp/vendors/scripts/process.js	/storage/emulated/0/HTTrack/Websites/Vajira/dropways.github.io/deskapp/vendors/scripts/process.js	(from https://vajira-api.vercel.app/)
01:24:20	6764/6764	---M-Z	200	added ('OK')	application/javascript	etag:W/%226448c874-1a6c%22	https://dropways.github.io/deskapp/vendors/scripts/layout-settings.js	/storage/emulated/0/HTTrack/Websites/Vajira/dropways.github.io/deskapp/vendors/scripts/layout-settings.js	(from https://vajira-api.vercel.app/)
01:24:21	1594554/1594554	---M-Z	200	added ('OK')	application/javascript	etag:W/%226448c874-1854ba%22	https://dropways.github.io/deskapp/vendors/scripts/core.js	/storage/emulated/0/HTTrack/Websites/Vajira/dropways.github.io/deskapp/vendors/scripts/core.js	(from https://vajira-api.vercel.app/)
01:24:21	98853/98853	---M-Z	200	added ('OK')	application/javascript	etag:W/%226448c874-18225%22	https://dropways.github.io/deskapp/src/plugins/cropperjs/dist/cropper.js	/storage/emulated/0/HTTrack/Websites/Vajira/dropways.github.io/deskapp/src/plugins/cropperjs/dist/cropper.js	(from https://vajira-api.vercel.app/)
01:24:23	447674/447674	---M-Z	200	added ('OK')	application/javascript	etag:W/%226448c874-6d4ba%22	https://dropways.github.io/deskapp/src/plugins/apexcharts/apexcharts.min.js	/storage/emulated/0/HTTrack/Websites/Vajira/dropways.github.io/deskapp/src/plugins/apexcharts/apexcharts.min.js	(from https://vajira-api.vercel.app/)
01:24:24	3159/3159	---M-Z	200	added ('OK')	application/javascript	etag:W/%226448c874-c57%22	https://dropways.github.io/deskapp/src/plugins/datatables/js/dataTables.bootstrap4.min.js	/storage/emulated/0/HTTrack/Websites/Vajira/dropways.github.io/deskapp/src/plugins/datatables/js/dataTables.bootstrap4.min.js	(from https://vajira-api.vercel.app/)
01:24:24	84321/84321	---M-Z	200	added ('OK')	application/javascript	etag:W/%226448c874-14961%22	https://dropways.github.io/deskapp/src/plugins/datatables/js/jquery.dataTables.min.js	/storage/emulated/0/HTTrack/Websites/Vajira/dropways.github.io/deskapp/src/plugins/datatables/js/jquery.dataTables.min.js	(from https://vajira-api.vercel.app/)
01:24:25	13031/13031	---M-Z	200	added ('OK')	application/javascript	etag:W/%226448c874-32e7%22	https://dropways.github.io/deskapp/src/plugins/datatables/js/dataTables.responsive.min.js	/storage/emulated/0/HTTrack/Websites/Vajira/dropways.github.io/deskapp/src/plugins/datatables/js/dataTables.responsive.min.js	(from https://vajira-api.vercel.app/)
01:24:26	1244/1244	---M-Z	200	added ('OK')	application/javascript	etag:W/%226448c874-4dc%22	https://dropways.github.io/deskapp/src/plugins/datatables/js/responsive.bootstrap4.min.js	/storage/emulated/0/HTTrack/Websites/Vajira/dropways.github.io/deskapp/src/plugins/datatables/js/responsive.bootstrap4.min.js	(from https://vajira-api.vercel.app/)
01:24:27	186/186	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2030%20Nov%202024%2019:54:27%20GMT	https://vajira-api.vercel.app/cdn-cgi/challenge-platform/scripts/invisible.js	/storage/emulated/0/HTTrack/Websites/Vajira/vajira-api.vercel.app/cdn-cgi/challenge-platform/scripts/invisible.28.delayed	(from https://vajira-api.vercel.app/)
01:24:30	121296/121296	---M--	200	added ('OK')	font/woff2	etag:%22645c577a-1d9d0%22	https://ferdiz-afk.github.io/Nice/assets/vendor/bootstrap-icons/fonts/bootstrap-icons.woff2?24e3eb84d0bcaf83d77f904c78ac1f47	/storage/emulated/0/HTTrack/Websites/Vajira/ferdiz-afk.github.io/Nice/assets/vendor/bootstrap-icons/fonts/bootstrap-iconsbf04.woff2	(from https://ferdiz-afk.github.io/Nice/assets/vendor/bootstrap-icons/bootstrap-icons.css)
